scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
1DXN06AAAAAJ,mwlZ7uAAAAAJ,Peter Convey,"Individual Merit Scientist, British Antarctic Survey"
1DXN06AAAAAJ,yfDRWScAAAAJ,Andrés Mansilla M.,Universidad de Magallanes
1DXN06AAAAAJ,WwtL3OUAAAAJ,Felipe Lorenz Simões,Universidade Federal do Rio Grande do Sul
1DXN06AAAAAJ,sI4yC9YAAAAJ,Alexandria K. Poole,"Assistant Professor of Philosophy, University of Twente"
1DXN06AAAAAJ,taX4QWIAAAAJ,J. Cristóbal Pizarro,Facultad de Ciencias Forestales. Universidad de Concepción
1DXN06AAAAAJ,qZFf4icAAAAJ,Javiera Malebrán,University of Kent
1DXN06AAAAAJ,IAV2HL0AAAAJ,Ramiro D Crego,"School of Biological, Earth & Environmental Sciences, University College Cork, Ireland"
1DXN06AAAAAJ,XNYtQyUAAAAJ,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile"
1DXN06AAAAAJ,UqjRlPUAAAAJ,Jaime E. Jiménez,"Professor of Wildlife Ecology, University of North Texas"
1DXN06AAAAAJ,0h2h9y4AAAAJ,Claudio Gonzalez-Wevar,"Profesor Asociado, Instituto de Ciencias Marinas (ICML), Universidad Austral de Chile, Valdivia, Chile"
1DXN06AAAAAJ,V4QxzYYAAAAJ,Daniel Gomez-Uchida,"Associate Professor at Departamento de Zoología, Universidad de Concepción"
1DXN06AAAAAJ,pzo1VK8AAAAJ,Chris Harrod,"Universidad de Antofagasta, Instituto Ciencias Naturales Alexander von Humboldt"
1DXN06AAAAAJ,1F3wkzQAAAAJ,Guillermo Servando Fuentes Jaque,"Laboratory for Research in Environmental Sciences (LARES), Faculty of Agricultural Sciences ; Master"
1DXN06AAAAAJ,gU8dE2kAAAAJ,Karin Gérard,Universidad de Magallanes
1DXN06AAAAAJ,WUKmpPMAAAAJ,Flavio Berchez,Professor Marine Biology University of São Paulo
1DXN06AAAAAJ,zOYi5KwAAAAJ,Elke Schüttler,"Investigator, Sub-antarctic Biocultural Conservation Program, University of Magallanes, Chile"
1DXN06AAAAAJ,h_fRQDcAAAAJ,Billy Ernst,Departamento de Oceanografía
YE78DRoAAAAJ,BmYFiWEAAAAJ,Jesus S. Troncoso,Profesor de Zoología
YE78DRoAAAAJ,yfDRWScAAAAJ,Andrés Mansilla M.,Universidad de Magallanes
YE78DRoAAAAJ,f3U3Q7kAAAAJ,Patricia Esquete,Universidade de Aveiro
YE78DRoAAAAJ,FDuwzQsAAAAJ,Celia Olabarria,
YE78DRoAAAAJ,A5gWAskAAAAJ,Juan Moreira,Profesor Titular - Universidad Autónoma de Madrid
YE78DRoAAAAJ,peAqI_4AAAAJ,Patricia Miloslavich,Scientific Committee on Oceanic Research (SCOR) / Universidad Simón Bolívar
4pwEbTgAAAAJ,Zi1cPTUAAAAJ,Jan Bannister,"Investigador Principal, Instituto Forestal de Chile"
4pwEbTgAAAAJ,T1tV1o0AAAAJ,José M. Fariña,Pontificia Universidad Catolica de Chile
4pwEbTgAAAAJ,fvJOtRIAAAAJ,Sergio Radic-Schilling,Universidad de Magallanes
ncL44GkAAAAJ,dQPhNcYAAAAJ,Kees van Bergen,Leiden University Medical Center
ncL44GkAAAAJ,pOnKVfcAAAAJ,Szymon M. Kiełbasa,Biomedical Data Sciences
ncL44GkAAAAJ,wePN6vgAAAAJ,Pablo Oppezzo,Institut Pasteur de Montevideo
ncL44GkAAAAJ,FNTqYSsAAAAJ,Florian Scherer,"Clinician Scientist and PI, Hematology and Oncology, University Medical Center Freiburg"
ncL44GkAAAAJ,chKBOJoAAAAJ,Liesbeth de Wreede,"Assistant professor, Medical Statistics, Biomedical Data Sciences, Leiden University Medical Center"
ncL44GkAAAAJ,BiNM014AAAAJ,Hassan Jumaa,"Professor of Immunology, Ulm University"
ncL44GkAAAAJ,S3UXMiEAAAAJ,Hans G. Drexler,"Professor for Cellular and Molecular Biology, TU Braunschweig and at DSMZ"
NLWV_0sAAAAJ,4dIvh2kAAAAJ,Diego Cazorla,Associate professor of Computer Science. University of Castilla-La Mancha
